anatomical structure,methods,Dice
Right-VentralDC,SyN,0.561097
Right-VentralDC,SyN,0.746465
Right-VentralDC,SyN,0.425193
Right-VentralDC,SyN,0.668307
Right-VentralDC,SyN,0.750041
Right-VentralDC,SyN,0.712247
Right-VentralDC,SyN,0.754929
Right-VentralDC,SyN,0.556679
Right-VentralDC,SyN,0.704994
Right-VentralDC,SyN,0.588398
Right-VentralDC,SyN,0.509293
Right-VentralDC,SyN,0.715512
Right-VentralDC,SyN,0.714529
Right-VentralDC,SyN,0.61225
Right-VentralDC,SyN,0.705119
Right-VentralDC,SyN,0.644471
Right-VentralDC,SyN,0.724644
Right-VentralDC,SyN,0.751853
Right-VentralDC,SyN,0.711557
Right-VentralDC,SyN,0.683817
Right-VentralDC,SyN,0.677825
Right-VentralDC,SyN,0.668251
Right-VentralDC,SyN,0.613266
Right-VentralDC,SyN,0.687277
Right-VentralDC,SyN,0.746141
Right-VentralDC,SyN,0.765782
Right-VentralDC,SyN,0.687264
Right-VentralDC,SyN,0.746994
Right-VentralDC,SyN,0.694399
Right-VentralDC,SyN,0.508671
Right-VentralDC,SyN,0.756244
Right-VentralDC,SyN,0.664049
Right-VentralDC,SyN,0.706078
Right-VentralDC,SyN,0.576534
Right-VentralDC,SyN,0.669449
Right-VentralDC,SyN,0.62756
Right-VentralDC,SyN,0.690728
Right-VentralDC,SyN,0.72408
Right-VentralDC,SyN,0.688968
Right-VentralDC,SyN,0.707791
Right-VentralDC,SyN,0.695418
Right-VentralDC,SyN,0.622548
Right-VentralDC,SyN,0.731424
Right-VentralDC,SyN,0.706846
Right-VentralDC,SyN,0.727273
Right-VentralDC,SyN,0.625313
Right-VentralDC,SyN,0.679756
Right-VentralDC,SyN,0.475816
Right-VentralDC,SyN,0.67886
Right-VentralDC,SyN,0.686395
Right-VentralDC,SyN,0.619107
Right-VentralDC,SyN,0.735548
Right-VentralDC,SyN,0.663922
Right-VentralDC,SyN,0.732634
Right-VentralDC,SyN,0.51238
Right-VentralDC,SyN,0.578849
Right-VentralDC,SyN,0.49673
Right-VentralDC,SyN,0.631879
Right-VentralDC,SyN,0.530823
Right-VentralDC,SyN,0.751446
Right-VentralDC,SyN,0.580767
Right-VentralDC,SyN,0.69939
Right-VentralDC,SyN,0.703412
Right-VentralDC,SyN,0.748496
Right-VentralDC,SyN,0.636757
Right-VentralDC,SyN,0.742469
Right-Thalamus-Proper,SyN,0.876523
Right-Thalamus-Proper,SyN,0.874753
Right-Thalamus-Proper,SyN,0.885785
Right-Thalamus-Proper,SyN,0.820825
Right-Thalamus-Proper,SyN,0.860201
Right-Thalamus-Proper,SyN,0.870147
Right-Thalamus-Proper,SyN,0.886906
Right-Thalamus-Proper,SyN,0.844131
Right-Thalamus-Proper,SyN,0.845181
Right-Thalamus-Proper,SyN,0.851774
Right-Thalamus-Proper,SyN,0.873751
Right-Thalamus-Proper,SyN,0.855656
Right-Thalamus-Proper,SyN,0.88483
Right-Thalamus-Proper,SyN,0.87646
Right-Thalamus-Proper,SyN,0.887786
Right-Thalamus-Proper,SyN,0.793893
Right-Thalamus-Proper,SyN,0.905161
Right-Thalamus-Proper,SyN,0.829535
Right-Thalamus-Proper,SyN,0.839322
Right-Thalamus-Proper,SyN,0.853705
Right-Thalamus-Proper,SyN,0.873904
Right-Thalamus-Proper,SyN,0.874498
Right-Thalamus-Proper,SyN,0.868893
Right-Thalamus-Proper,SyN,0.843712
Right-Thalamus-Proper,SyN,0.822539
Right-Thalamus-Proper,SyN,0.844303
Right-Thalamus-Proper,SyN,0.867628
Right-Thalamus-Proper,SyN,0.837302
Right-Thalamus-Proper,SyN,0.79972
Right-Thalamus-Proper,SyN,0.870781
Right-Thalamus-Proper,SyN,0.884133
Right-Thalamus-Proper,SyN,0.87286
Right-Thalamus-Proper,SyN,0.863891
Right-Thalamus-Proper,SyN,0.843274
Right-Thalamus-Proper,SyN,0.866729
Right-Thalamus-Proper,SyN,0.857806
Right-Thalamus-Proper,SyN,0.829891
Right-Thalamus-Proper,SyN,0.867535
Right-Thalamus-Proper,SyN,0.833621
Right-Thalamus-Proper,SyN,0.86094
Right-Thalamus-Proper,SyN,0.843499
Right-Thalamus-Proper,SyN,0.835075
Right-Thalamus-Proper,SyN,0.866427
Right-Thalamus-Proper,SyN,0.887167
Right-Thalamus-Proper,SyN,0.86515
Right-Thalamus-Proper,SyN,0.857916
Right-Thalamus-Proper,SyN,0.812137
Right-Thalamus-Proper,SyN,0.891408
Right-Thalamus-Proper,SyN,0.853558
Right-Thalamus-Proper,SyN,0.871267
Right-Thalamus-Proper,SyN,0.863687
Right-Thalamus-Proper,SyN,0.848589
Right-Thalamus-Proper,SyN,0.830732
Right-Thalamus-Proper,SyN,0.848752
Right-Thalamus-Proper,SyN,0.840681
Right-Thalamus-Proper,SyN,0.851433
Right-Thalamus-Proper,SyN,0.872226
Right-Thalamus-Proper,SyN,0.851561
Right-Thalamus-Proper,SyN,0.89763
Right-Thalamus-Proper,SyN,0.842648
Right-Thalamus-Proper,SyN,0.858404
Right-Thalamus-Proper,SyN,0.828482
Right-Thalamus-Proper,SyN,0.810482
Right-Thalamus-Proper,SyN,0.833716
Right-Thalamus-Proper,SyN,0.87006
Right-Thalamus-Proper,SyN,0.832933
Right-Thalamus-Proper,SyN,0.88304
Right-Thalamus-Proper,SyN,0.891877
Right-Thalamus-Proper,SyN,0.881549
Right-Thalamus-Proper,SyN,0.877884
Right-Thalamus-Proper,SyN,0.81509
Right-Thalamus-Proper,SyN,0.867798
Right-Thalamus-Proper,SyN,0.864618
Right-Thalamus-Proper,SyN,0.822175
Right-Thalamus-Proper,SyN,0.849977
Right-Thalamus-Proper,SyN,0.892617
Right-Thalamus-Proper,SyN,0.816924
Right-Thalamus-Proper,SyN,0.845775
Right-Thalamus-Proper,SyN,0.829879
Right-Thalamus-Proper,SyN,0.872775
Right-Thalamus-Proper,SyN,0.828968
Right-Thalamus-Proper,SyN,0.88105
Right-Thalamus-Proper,SyN,0.903146
Right-Thalamus-Proper,SyN,0.849428
Right-Thalamus-Proper,SyN,0.865939
Right-Thalamus-Proper,SyN,0.863866
Right-Thalamus-Proper,SyN,0.834647
Right-Thalamus-Proper,SyN,0.899776
Right-Thalamus-Proper,SyN,0.822952
Right-Thalamus-Proper,SyN,0.885932
Right-Thalamus-Proper,SyN,0.868464
Right-Thalamus-Proper,SyN,0.842179
Right-Thalamus-Proper,SyN,0.869954
Right-Thalamus-Proper,SyN,0.866562
Right-Thalamus-Proper,SyN,0.830206
Right-Thalamus-Proper,SyN,0.855296
Right-Thalamus-Proper,SyN,0.874803
Right-Thalamus-Proper,SyN,0.898586
Right-Thalamus-Proper,SyN,0.857207
Right-Thalamus-Proper,SyN,0.806544
Right-Thalamus-Proper,SyN,0.849164
Right-Thalamus-Proper,SyN,0.86409
Right-Thalamus-Proper,SyN,0.872466
Right-Thalamus-Proper,SyN,0.879123
Right-Thalamus-Proper,SyN,0.838642
Right-Thalamus-Proper,SyN,0.873865
Right-Thalamus-Proper,SyN,0.877248
Right-Thalamus-Proper,SyN,0.881051
Right-Thalamus-Proper,SyN,0.852822
Right-Thalamus-Proper,SyN,0.880567
Right-Thalamus-Proper,SyN,0.854095
Right-Thalamus-Proper,SyN,0.858049
Right-Thalamus-Proper,SyN,0.878746
Right-Thalamus-Proper,SyN,0.799104
Right-Thalamus-Proper,SyN,0.865626
Right-Putamen,SyN,0.682694
Right-Putamen,SyN,0.589747
Right-Putamen,SyN,0.631773
Right-Putamen,SyN,0.698657
Right-Putamen,SyN,0.57079
Right-Putamen,SyN,0.57885
Right-Putamen,SyN,0.603946
Right-Putamen,SyN,0.678666
Right-Putamen,SyN,0.638448
Right-Putamen,SyN,0.524194
Right-Putamen,SyN,0.657983
Right-Putamen,SyN,0.436859
Right-Putamen,SyN,0.675461
Right-Putamen,SyN,0.607698
Right-Putamen,SyN,0.663928
Right-Putamen,SyN,0.67864
Right-Putamen,SyN,0.648696
Right-Putamen,SyN,0.694287
Right-Putamen,SyN,0.626785
Right-Putamen,SyN,0.561683
Right-Putamen,SyN,0.673512
Right-Putamen,SyN,0.626001
Right-Putamen,SyN,0.591438
Right-Putamen,SyN,0.699323
Right-Putamen,SyN,0.630799
Right-Putamen,SyN,0.690751
Right-Putamen,SyN,0.578108
Right-Putamen,SyN,0.667829
Right-Putamen,SyN,0.644264
Right-Putamen,SyN,0.628504
Right-Putamen,SyN,0.605975
Right-Putamen,SyN,0.580293
Right-Putamen,SyN,0.670252
Right-Putamen,SyN,0.681862
Right-Putamen,SyN,0.6194
Right-Putamen,SyN,0.577478
Right-Putamen,SyN,0.565984
Right-Putamen,SyN,0.674977
Right-Putamen,SyN,0.642943
Right-Putamen,SyN,0.652215
Right-Putamen,SyN,0.646282
Right-Putamen,SyN,0.596555
Right-Putamen,SyN,0.691643
Right-Putamen,SyN,0.719353
Right-Putamen,SyN,0.662436
Right-Putamen,SyN,0.677322
Right-Putamen,SyN,0.688856
Right-Putamen,SyN,0.654238
Right-Putamen,SyN,0.607402
Right-Putamen,SyN,0.671841
Right-Putamen,SyN,0.614551
Right-Putamen,SyN,0.63424
Right-Putamen,SyN,0.531883
Right-Putamen,SyN,0.653942
Right-Putamen,SyN,0.488584
Right-Putamen,SyN,0.669629
Right-Putamen,SyN,0.681426
Right-Putamen,SyN,0.641573
Right-Putamen,SyN,0.537969
Right-Putamen,SyN,0.535014
Right-Putamen,SyN,0.806768
Right-Putamen,SyN,0.649237
Right-Putamen,SyN,0.624618
Right-Putamen,SyN,0.653911
Right-Putamen,SyN,0.585035
Right-Putamen,SyN,0.534016
Right-Putamen,SyN,0.631307
Right-Putamen,SyN,0.589182
Right-Putamen,SyN,0.693504
Right-Putamen,SyN,0.528031
Right-Putamen,SyN,0.637842
Right-Putamen,SyN,0.590026
Right-Putamen,SyN,0.665466
Right-Putamen,SyN,0.499663
Right-Putamen,SyN,0.534227
Right-Putamen,SyN,0.539664
Right-Putamen,SyN,0.700071
Right-Putamen,SyN,0.561605
Right-Putamen,SyN,0.61063
Right-Putamen,SyN,0.672106
Right-Putamen,SyN,0.669929
Right-Putamen,SyN,0.651349
Right-Putamen,SyN,0.684266
Right-Putamen,SyN,0.612275
Right-Putamen,SyN,0.659652
Right-Putamen,SyN,0.748958
Right-Putamen,SyN,0.551771
Right-Putamen,SyN,0.562845
Right-Putamen,SyN,0.559938
Right-Putamen,SyN,0.666213
Right-Putamen,SyN,0.684032
Right-Putamen,SyN,0.720362
Right-Putamen,SyN,0.647042
Right-Putamen,SyN,0.570168
Right-Putamen,SyN,0.636579
Right-Putamen,SyN,0.672663
Right-Putamen,SyN,0.683794
Right-Putamen,SyN,0.580284
Right-Putamen,SyN,0.518102
Right-Putamen,SyN,0.611555
Right-Putamen,SyN,0.527718
Right-Putamen,SyN,0.66397
Right-Putamen,SyN,0.656306
Right-Putamen,SyN,0.680071
Right-Putamen,SyN,0.72936
Right-Putamen,SyN,0.590956
Right-Putamen,SyN,0.668968
Right-Putamen,SyN,0.597193
Right-Putamen,SyN,0.610846
Right-Putamen,SyN,0.752974
Right-Putamen,SyN,0.633241
Right-Putamen,SyN,0.512972
Right-Putamen,SyN,0.713801
Right-Putamen,SyN,0.656074
Right-Putamen,SyN,0.521315
Right-Pallidum,SyN,0.684983
Right-Pallidum,SyN,0.736559
Right-Pallidum,SyN,0.660336
Right-Pallidum,SyN,0.454762
Right-Pallidum,SyN,0.723293
Right-Pallidum,SyN,0.497226
Right-Pallidum,SyN,0.530979
Right-Pallidum,SyN,0.57449
Right-Pallidum,SyN,0.717707
Right-Pallidum,SyN,0.652641
Right-Pallidum,SyN,0.66325
Right-Pallidum,SyN,0.706664
Right-Pallidum,SyN,0.692654
Right-Pallidum,SyN,0.619661
Right-Pallidum,SyN,0.67487
Right-Pallidum,SyN,0.690678
Right-Pallidum,SyN,0.715168
Right-Pallidum,SyN,0.72956
Right-Pallidum,SyN,0.675934
Right-Pallidum,SyN,0.602216
Right-Pallidum,SyN,0.40731
Right-Pallidum,SyN,0.683358
Right-Pallidum,SyN,0.579825
Right-Pallidum,SyN,0.598278
Right-Pallidum,SyN,0.685864
Right-Pallidum,SyN,0.676943
Right-Pallidum,SyN,0.755744
Right-Pallidum,SyN,0.473805
Right-Pallidum,SyN,0.693235
Right-Pallidum,SyN,0.773813
Right-Pallidum,SyN,0.759263
Right-Pallidum,SyN,0.634688
Right-Pallidum,SyN,0.73279
Right-Pallidum,SyN,0.60084
Right-Pallidum,SyN,0.679775
Right-Pallidum,SyN,0.733758
Right-Pallidum,SyN,0.67508
Right-Pallidum,SyN,0.71245
Right-Pallidum,SyN,0.492404
Right-Pallidum,SyN,0.594392
Right-Pallidum,SyN,0.749797
Right-Pallidum,SyN,0.658053
Right-Pallidum,SyN,0.538555
Right-Pallidum,SyN,0.565989
Right-Pallidum,SyN,0.74125
Right-Pallidum,SyN,0.773344
Right-Pallidum,SyN,0.52704
Right-Pallidum,SyN,0.719461
Right-Pallidum,SyN,0.649861
Right-Pallidum,SyN,0.740646
Right-Pallidum,SyN,0.60504
Right-Pallidum,SyN,0.554491
Right-Pallidum,SyN,0.625711
Right-Pallidum,SyN,0.485263
Right-Pallidum,SyN,0.671739
Right-Pallidum,SyN,0.575758
Right-Pallidum,SyN,0.688539
Right-Pallidum,SyN,0.728955
Right-Pallidum,SyN,0.670006
Right-Pallidum,SyN,0.441794
Right-Pallidum,SyN,0.666808
Right-Pallidum,SyN,0.386391
Right-Pallidum,SyN,0.67372
Right-Pallidum,SyN,0.607558
Right-Pallidum,SyN,0.753757
Right-Pallidum,SyN,0.645501
Right-Pallidum,SyN,0.610072
Right-Pallidum,SyN,0.674794
Right-Pallidum,SyN,0.572836
Right-Pallidum,SyN,0.656307
Right-Pallidum,SyN,0.729186
Right-Pallidum,SyN,0.675523
Right-Pallidum,SyN,0.517361
Right-Pallidum,SyN,0.710219
Right-Pallidum,SyN,0.515964
Right-Pallidum,SyN,0.638171
Right-Pallidum,SyN,0.614342
Right-Pallidum,SyN,0.533309
Right-Pallidum,SyN,0.663012
Right-Pallidum,SyN,0.658483
Right-Pallidum,SyN,0.677607
Right-Pallidum,SyN,0.74473
Right-Pallidum,SyN,0.67823
Right-Pallidum,SyN,0.70242
Right-Pallidum,SyN,0.58492
Right-Pallidum,SyN,0.719116
Right-Pallidum,SyN,0.537755
Right-Pallidum,SyN,0.718488
Right-Pallidum,SyN,0.535742
Right-Pallidum,SyN,0.592066
Right-Pallidum,SyN,0.512962
Right-Pallidum,SyN,0.760186
Right-Pallidum,SyN,0.607012
Right-Pallidum,SyN,0.713021
Right-Pallidum,SyN,0.583967
Right-Pallidum,SyN,0.520186
Right-Pallidum,SyN,0.594323
Right-Pallidum,SyN,0.735872
Right-Pallidum,SyN,0.534082
Right-Pallidum,SyN,0.67909
Right-Pallidum,SyN,0.602894
Right-Pallidum,SyN,0.649342
Right-Pallidum,SyN,0.698073
Right-Pallidum,SyN,0.491558
Right-Pallidum,SyN,0.6995
Right-Pallidum,SyN,0.57481
Right-Pallidum,SyN,0.734992
Right-Pallidum,SyN,0.672345
Right-Pallidum,SyN,0.695718
Right-Pallidum,SyN,0.704661
Right-Pallidum,SyN,0.792233
Right-Pallidum,SyN,0.794323
Right-Pallidum,SyN,0.618245
Right-Pallidum,SyN,0.677489
Right-Pallidum,SyN,0.713352
Right-Lateral-Ventricle,SyN,0.846053
Right-Lateral-Ventricle,SyN,0.744545
Right-Lateral-Ventricle,SyN,0.835004
Right-Lateral-Ventricle,SyN,0.770043
Right-Lateral-Ventricle,SyN,0.831625
Right-Lateral-Ventricle,SyN,0.850154
Right-Lateral-Ventricle,SyN,0.848026
Right-Lateral-Ventricle,SyN,0.848863
Right-Lateral-Ventricle,SyN,0.7992
Right-Lateral-Ventricle,SyN,0.79009
Right-Lateral-Ventricle,SyN,0.820972
Right-Lateral-Ventricle,SyN,0.870905
Right-Lateral-Ventricle,SyN,0.781767
Right-Lateral-Ventricle,SyN,0.82804
Right-Lateral-Ventricle,SyN,0.823932
Right-Lateral-Ventricle,SyN,0.834156
Right-Lateral-Ventricle,SyN,0.842407
Right-Lateral-Ventricle,SyN,0.828807
Right-Lateral-Ventricle,SyN,0.854947
Right-Lateral-Ventricle,SyN,0.819301
Right-Lateral-Ventricle,SyN,0.841576
Right-Lateral-Ventricle,SyN,0.848596
Right-Lateral-Ventricle,SyN,0.820785
