anatomical structure,methods,Dice
4th-Ventricle,NiftyReg,0.725903
4th-Ventricle,NiftyReg,0.753566
4th-Ventricle,NiftyReg,0.508844
4th-Ventricle,NiftyReg,0.739606
4th-Ventricle,NiftyReg,0.624681
4th-Ventricle,NiftyReg,0.63155
4th-Ventricle,NiftyReg,0.337916
4th-Ventricle,NiftyReg,0.706337
4th-Ventricle,NiftyReg,0.642224
4th-Ventricle,NiftyReg,0.666017
4th-Ventricle,NiftyReg,0.681021
4th-Ventricle,NiftyReg,0.748071
4th-Ventricle,NiftyReg,0.635259
4th-Ventricle,NiftyReg,0.747571
4th-Ventricle,NiftyReg,0.678822
4th-Ventricle,NiftyReg,0.665262
4th-Ventricle,NiftyReg,0.742288
4th-Ventricle,NiftyReg,0.651376
4th-Ventricle,NiftyReg,0.700717
4th-Ventricle,NiftyReg,0.64187
4th-Ventricle,NiftyReg,0.512143
4th-Ventricle,NiftyReg,0.705301
4th-Ventricle,NiftyReg,0.713056
4th-Ventricle,NiftyReg,0.550103
4th-Ventricle,NiftyReg,0.689158
4th-Ventricle,NiftyReg,0.537518
4th-Ventricle,NiftyReg,0.67574
4th-Ventricle,NiftyReg,0.585444
4th-Ventricle,NiftyReg,0.711252
4th-Ventricle,NiftyReg,0.60749
4th-Ventricle,NiftyReg,0.657585
4th-Ventricle,NiftyReg,0.671913
4th-Ventricle,NiftyReg,0.686983
4th-Ventricle,NiftyReg,0.672827
4th-Ventricle,NiftyReg,0.678151
4th-Ventricle,NiftyReg,0.699496
4th-Ventricle,NiftyReg,0.684648
4th-Ventricle,NiftyReg,0.737083
4th-Ventricle,NiftyReg,0.589075
4th-Ventricle,NiftyReg,0.735074
4th-Ventricle,NiftyReg,0.715203
4th-Ventricle,NiftyReg,0.754677
4th-Ventricle,NiftyReg,0.59138
4th-Ventricle,NiftyReg,0.724484
4th-Ventricle,NiftyReg,0.643605
4th-Ventricle,NiftyReg,0.673615
4th-Ventricle,NiftyReg,0.769762
4th-Ventricle,NiftyReg,0.692921
4th-Ventricle,NiftyReg,0.759725
4th-Ventricle,NiftyReg,0.714697
4th-Ventricle,NiftyReg,0.637467
4th-Ventricle,NiftyReg,0.67527
4th-Ventricle,NiftyReg,0.676424
4th-Ventricle,NiftyReg,0.593704
4th-Ventricle,NiftyReg,0.697563
4th-Ventricle,NiftyReg,0.684537
4th-Ventricle,NiftyReg,0.728749
4th-Ventricle,NiftyReg,0.523723
4th-Ventricle,NiftyReg,0.699591
4th-Ventricle,NiftyReg,0.47769
4th-Ventricle,NiftyReg,0.682861
4th-Ventricle,NiftyReg,0.715863
4th-Ventricle,NiftyReg,0.690421
4th-Ventricle,NiftyReg,0.658413
4th-Ventricle,NiftyReg,0.739861
4th-Ventricle,NiftyReg,0.691043
4th-Ventricle,NiftyReg,0.623994
4th-Ventricle,NiftyReg,0.740032
4th-Ventricle,NiftyReg,0.70247
4th-Ventricle,NiftyReg,0.6906
4th-Ventricle,NiftyReg,0.561963
4th-Ventricle,NiftyReg,0.649726
4th-Ventricle,NiftyReg,0.506405
4th-Ventricle,NiftyReg,0.674054
4th-Ventricle,NiftyReg,0.573185
4th-Ventricle,NiftyReg,0.674451
4th-Ventricle,NiftyReg,0.678957
4th-Ventricle,NiftyReg,0.598792
4th-Ventricle,NiftyReg,0.678659
3rd-Ventricle,NiftyReg,0.617216
3rd-Ventricle,NiftyReg,0.524003
3rd-Ventricle,NiftyReg,0.668192
3rd-Ventricle,NiftyReg,0.711653
3rd-Ventricle,NiftyReg,0.644621
3rd-Ventricle,NiftyReg,0.57731
3rd-Ventricle,NiftyReg,0.692135
3rd-Ventricle,NiftyReg,0.715596
3rd-Ventricle,NiftyReg,0.641509
3rd-Ventricle,NiftyReg,0.575503
3rd-Ventricle,NiftyReg,0.66752
3rd-Ventricle,NiftyReg,0.630846
3rd-Ventricle,NiftyReg,0.544259
3rd-Ventricle,NiftyReg,0.718153
3rd-Ventricle,NiftyReg,0.697051
3rd-Ventricle,NiftyReg,0.638208
3rd-Ventricle,NiftyReg,0.613223
3rd-Ventricle,NiftyReg,0.630716
3rd-Ventricle,NiftyReg,0.649222
3rd-Ventricle,NiftyReg,0.581022
3rd-Ventricle,NiftyReg,0.6938
3rd-Ventricle,NiftyReg,0.572889
3rd-Ventricle,NiftyReg,0.658994
3rd-Ventricle,NiftyReg,0.456836
3rd-Ventricle,NiftyReg,0.734827
3rd-Ventricle,NiftyReg,0.696478
3rd-Ventricle,NiftyReg,0.545109
3rd-Ventricle,NiftyReg,0.598883
3rd-Ventricle,NiftyReg,0.618367
3rd-Ventricle,NiftyReg,0.625879
3rd-Ventricle,NiftyReg,0.717265
3rd-Ventricle,NiftyReg,0.479126
3rd-Ventricle,NiftyReg,0.736539
3rd-Ventricle,NiftyReg,0.554436
3rd-Ventricle,NiftyReg,0.653753
3rd-Ventricle,NiftyReg,0.540051
3rd-Ventricle,NiftyReg,0.620669
3rd-Ventricle,NiftyReg,0.593543
3rd-Ventricle,NiftyReg,0.677979
3rd-Ventricle,NiftyReg,0.697543
3rd-Ventricle,NiftyReg,0.659969
3rd-Ventricle,NiftyReg,0.666442
3rd-Ventricle,NiftyReg,0.705211
3rd-Ventricle,NiftyReg,0.649202
3rd-Ventricle,NiftyReg,0.583266
3rd-Ventricle,NiftyReg,0.6473
3rd-Ventricle,NiftyReg,0.499787
3rd-Ventricle,NiftyReg,0.708464
3rd-Ventricle,NiftyReg,0.48257
3rd-Ventricle,NiftyReg,0.621674
3rd-Ventricle,NiftyReg,0.544655
3rd-Ventricle,NiftyReg,0.601336
3rd-Ventricle,NiftyReg,0.624144
3rd-Ventricle,NiftyReg,0.639535
3rd-Ventricle,NiftyReg,0.484588
3rd-Ventricle,NiftyReg,0.652679
3rd-Ventricle,NiftyReg,0.59665
3rd-Ventricle,NiftyReg,0.717897
3rd-Ventricle,NiftyReg,0.636864
3rd-Ventricle,NiftyReg,0.698272
3rd-Ventricle,NiftyReg,0.652371
3rd-Ventricle,NiftyReg,0.719939
3rd-Ventricle,NiftyReg,0.633182
3rd-Ventricle,NiftyReg,0.657672
3rd-Ventricle,NiftyReg,0.602993
3rd-Ventricle,NiftyReg,0.693095
3rd-Ventricle,NiftyReg,0.620209
3rd-Ventricle,NiftyReg,0.624585
3rd-Ventricle,NiftyReg,0.590909
3rd-Ventricle,NiftyReg,0.731214
3rd-Ventricle,NiftyReg,0.635897
3rd-Ventricle,NiftyReg,0.525758
3rd-Ventricle,NiftyReg,0.649496
3rd-Ventricle,NiftyReg,0.73228
3rd-Ventricle,NiftyReg,0.665698
3rd-Ventricle,NiftyReg,0.706634
3rd-Ventricle,NiftyReg,0.659109
3rd-Ventricle,NiftyReg,0.729467
3rd-Ventricle,NiftyReg,0.66465
3rd-Ventricle,NiftyReg,0.64795
3rd-Ventricle,NiftyReg,0.590918
3rd-Ventricle,NiftyReg,0.62378
3rd-Ventricle,NiftyReg,0.671769
3rd-Ventricle,NiftyReg,0.585016
3rd-Ventricle,NiftyReg,0.607455
3rd-Ventricle,NiftyReg,0.727442
3rd-Ventricle,NiftyReg,0.681818
3rd-Ventricle,NiftyReg,0.666972
3rd-Ventricle,NiftyReg,0.642828
3rd-Ventricle,NiftyReg,0.652808
3rd-Ventricle,NiftyReg,0.571009
3rd-Ventricle,NiftyReg,0.704142
3rd-Ventricle,NiftyReg,0.584539
3rd-Ventricle,NiftyReg,0.502258
3rd-Ventricle,NiftyReg,0.486083
3rd-Ventricle,NiftyReg,0.622873
3rd-Ventricle,NiftyReg,0.695041
3rd-Ventricle,NiftyReg,0.705391
3rd-Ventricle,NiftyReg,0.743047
3rd-Ventricle,NiftyReg,0.641227
3rd-Ventricle,NiftyReg,0.732711
3rd-Ventricle,NiftyReg,0.600881
3rd-Ventricle,NiftyReg,0.681006
3rd-Ventricle,NiftyReg,0.684962
3rd-Ventricle,NiftyReg,0.542306
3rd-Ventricle,NiftyReg,0.632315
3rd-Ventricle,NiftyReg,0.577435
3rd-Ventricle,NiftyReg,0.579888
3rd-Ventricle,NiftyReg,0.690027
3rd-Ventricle,NiftyReg,0.530699
3rd-Ventricle,NiftyReg,0.723236
3rd-Ventricle,NiftyReg,0.692324
3rd-Ventricle,NiftyReg,0.708368
3rd-Ventricle,NiftyReg,0.72267
3rd-Ventricle,NiftyReg,0.674839
Right-choroid-plexus,VoxelMorph,0.4
Right-choroid-plexus,VoxelMorph,0.432598
Right-choroid-plexus,VoxelMorph,0.401544
Right-choroid-plexus,VoxelMorph,0.454545
Right-choroid-plexus,VoxelMorph,0.375587
Right-choroid-plexus,VoxelMorph,0.442049
Right-choroid-plexus,VoxelMorph,0.281827
Right-choroid-plexus,VoxelMorph,0.470252
Right-choroid-plexus,VoxelMorph,0.256324
Right-choroid-plexus,VoxelMorph,0.37215
Right-choroid-plexus,VoxelMorph,0.490965
Right-choroid-plexus,VoxelMorph,0.453297
Right-choroid-plexus,VoxelMorph,0.306639
Right-choroid-plexus,VoxelMorph,0.353645
Right-choroid-plexus,VoxelMorph,0.414584
Right-choroid-plexus,VoxelMorph,0.404232
Right-choroid-plexus,VoxelMorph,0.583092
Right-choroid-plexus,VoxelMorph,0.439795
Right-choroid-plexus,VoxelMorph,0.398714
Right-choroid-plexus,VoxelMorph,0.417969
Right-choroid-plexus,VoxelMorph,0.419089
Right-choroid-plexus,VoxelMorph,0.358944
Right-choroid-plexus,VoxelMorph,0.356164
Right-choroid-plexus,VoxelMorph,0.389508
Right-choroid-plexus,VoxelMorph,0.357895
Right-choroid-plexus,VoxelMorph,0.39276
Right-choroid-plexus,VoxelMorph,0.406614
Right-choroid-plexus,VoxelMorph,0.294754
Right-choroid-plexus,VoxelMorph,0.451992
Right-choroid-plexus,VoxelMorph,0.434382
Right-choroid-plexus,VoxelMorph,0.389391
Right-choroid-plexus,VoxelMorph,0.343865
Right-choroid-plexus,VoxelMorph,0.239226
Right-choroid-plexus,VoxelMorph,0.452521
Right-choroid-plexus,VoxelMorph,0.444763
Right-choroid-plexus,VoxelMorph,0.384484
Right-choroid-plexus,VoxelMorph,0.441034
Right-choroid-plexus,VoxelMorph,0.349206
Right-choroid-plexus,VoxelMorph,0.35518
Right-choroid-plexus,VoxelMorph,0.375499
Right-choroid-plexus,VoxelMorph,0.475362
Right-choroid-plexus,VoxelMorph,0.277998
Right-choroid-plexus,VoxelMorph,0.476688
Right-choroid-plexus,VoxelMorph,0.444998
Right-choroid-plexus,VoxelMorph,0.354319
Right-choroid-plexus,VoxelMorph,0.239637
Right-choroid-plexus,VoxelMorph,0.446816
Right-choroid-plexus,VoxelMorph,0.168451
Right-choroid-plexus,VoxelMorph,0.429335
Right-choroid-plexus,VoxelMorph,0.177885
Right-choroid-plexus,VoxelMorph,0.446637
Right-choroid-plexus,VoxelMorph,0.363987
Right-choroid-plexus,VoxelMorph,0.220828
Right-choroid-plexus,VoxelMorph,0.224473
Right-choroid-plexus,VoxelMorph,0.238441
Right-choroid-plexus,VoxelMorph,0.455468
Right-choroid-plexus,VoxelMorph,0.510182
Right-choroid-plexus,VoxelMorph,0.247678
Right-choroid-plexus,VoxelMorph,0.460094
Right-choroid-plexus,VoxelMorph,0.234043
Right-choroid-plexus,VoxelMorph,0.235102
Right-choroid-plexus,VoxelMorph,0.35634
Right-choroid-plexus,VoxelMorph,0.508216
Right-choroid-plexus,VoxelMorph,0.263978
Right-choroid-plexus,VoxelMorph,0.386541
Right-choroid-plexus,VoxelMorph,0.42031
Right-choroid-plexus,VoxelMorph,0.187699
Right-choroid-plexus,VoxelMorph,0.314607
Right-choroid-plexus,VoxelMorph,0.396029
Right-choroid-plexus,VoxelMorph,0.349922
Right-choroid-plexus,VoxelMorph,0.439803
Right-choroid-plexus,VoxelMorph,0.408739
Right-choroid-plexus,VoxelMorph,0.29374
Right-choroid-plexus,VoxelMorph,0.445138
Right-choroid-plexus,VoxelMorph,0.305956
Right-choroid-plexus,VoxelMorph,0.325959
Right-choroid-plexus,VoxelMorph,0.324926
Right-choroid-plexus,VoxelMorph,0.42903
Right-choroid-plexus,VoxelMorph,0.180169
Right-choroid-plexus,VoxelMorph,0.361309
Right-choroid-plexus,VoxelMorph,0.415641
Right-choroid-plexus,VoxelMorph,0.421384
Right-choroid-plexus,VoxelMorph,0.474178
Right-choroid-plexus,VoxelMorph,0.284182
Right-choroid-plexus,VoxelMorph,0.373726
Right-choroid-plexus,VoxelMorph,0.343042
Right-choroid-plexus,VoxelMorph,0.459057
Right-choroid-plexus,VoxelMorph,0.390852
Right-choroid-plexus,VoxelMorph,0.446536
Right-choroid-plexus,VoxelMorph,0.462379
Right-choroid-plexus,VoxelMorph,0.334681
Right-choroid-plexus,VoxelMorph,0.380694
Right-choroid-plexus,VoxelMorph,0.509163
Right-choroid-plexus,VoxelMorph,0.238965
Right-choroid-plexus,VoxelMorph,0.392727
Right-choroid-plexus,VoxelMorph,0.470219
Right-choroid-plexus,VoxelMorph,0.298954
Right-choroid-plexus,VoxelMorph,0.23736
Right-choroid-plexus,VoxelMorph,0.290087
Right-choroid-plexus,VoxelMorph,0.44807
Right-choroid-plexus,VoxelMorph,0.295499
Right-choroid-plexus,VoxelMorph,0.307374
Right-choroid-plexus,VoxelMorph,0.33137
Right-choroid-plexus,VoxelMorph,0.475589
Right-choroid-plexus,VoxelMorph,0.462492
Right-choroid-plexus,VoxelMorph,0.408967
Right-choroid-plexus,VoxelMorph,0.239757
Right-choroid-plexus,VoxelMorph,0.381789
Right-choroid-plexus,VoxelMorph,0.29889
Right-choroid-plexus,VoxelMorph,0.307797
Right-choroid-plexus,VoxelMorph,0.149794
Right-choroid-plexus,VoxelMorph,0.29883
Right-choroid-plexus,VoxelMorph,0.463576
Right-choroid-plexus,VoxelMorph,0.399615
Right-choroid-plexus,VoxelMorph,0.41578
Right-VentralDC,VoxelMorph,0.796878
Right-VentralDC,VoxelMorph,0.795838
Right-VentralDC,VoxelMorph,0.805163
Right-VentralDC,VoxelMorph,0.817674
Right-VentralDC,VoxelMorph,0.814925
Right-VentralDC,VoxelMorph,0.728806
Right-VentralDC,VoxelMorph,0.815287
Right-VentralDC,VoxelMorph,0.810376
Right-VentralDC,VoxelMorph,0.813759
Right-VentralDC,VoxelMorph,0.821183
Right-VentralDC,VoxelMorph,0.773766
Right-VentralDC,VoxelMorph,0.83477
Right-VentralDC,VoxelMorph,0.821568
Right-VentralDC,VoxelMorph,0.803199
Right-VentralDC,VoxelMorph,0.818199
Right-VentralDC,VoxelMorph,0.673095
Right-VentralDC,VoxelMorph,0.770632
Right-VentralDC,VoxelMorph,0.84707
Right-VentralDC,VoxelMorph,0.792025
Right-VentralDC,VoxelMorph,0.817664
Right-VentralDC,VoxelMorph,0.806791
Right-VentralDC,VoxelMorph,0.687358
Right-VentralDC,VoxelMorph,0.818139
Right-VentralDC,VoxelMorph,0.829572
Right-VentralDC,VoxelMorph,0.803266
Right-VentralDC,VoxelMorph,0.807732
Right-VentralDC,VoxelMorph,0.795265
Right-VentralDC,VoxelMorph,0.648259
Right-VentralDC,VoxelMorph,0.827789
Right-VentralDC,VoxelMorph,0.826221
Right-VentralDC,VoxelMorph,0.820805
Right-VentralDC,VoxelMorph,0.764499
Right-VentralDC,VoxelMorph,0.805326
Right-VentralDC,VoxelMorph,0.698078
Right-VentralDC,VoxelMorph,0.729249
Right-VentralDC,VoxelMorph,0.805894
Right-VentralDC,VoxelMorph,0.788187
Right-VentralDC,VoxelMorph,0.81784
Right-VentralDC,VoxelMorph,0.818077
Right-VentralDC,VoxelMorph,0.826132
Right-VentralDC,VoxelMorph,0.807044
Right-VentralDC,VoxelMorph,0.79013
Right-VentralDC,VoxelMorph,0.818769
Right-VentralDC,VoxelMorph,0.796309
Right-VentralDC,VoxelMorph,0.76227
Right-VentralDC,VoxelMorph,0.822152
Right-VentralDC,VoxelMorph,0.82222
Right-VentralDC,VoxelMorph,0.79949
Right-VentralDC,VoxelMorph,0.773664
Right-VentralDC,VoxelMorph,0.753885
Right-VentralDC,VoxelMorph,0.831625
Right-VentralDC,VoxelMorph,0.769998
Right-VentralDC,VoxelMorph,0.780728
Right-VentralDC,VoxelMorph,0.836875
Right-VentralDC,VoxelMorph,0.795865
Right-VentralDC,VoxelMorph,0.829107
Right-VentralDC,VoxelMorph,0.705564
Right-VentralDC,VoxelMorph,0.814842
Right-VentralDC,VoxelMorph,0.811035
Right-VentralDC,VoxelMorph,0.786986
Right-VentralDC,VoxelMorph,0.782377
Right-VentralDC,VoxelMorph,0.803581
Right-VentralDC,VoxelMorph,0.783749
Right-VentralDC,VoxelMorph,0.743316
Right-VentralDC,VoxelMorph,0.8014
Right-VentralDC,VoxelMorph,0.810066
Right-VentralDC,VoxelMorph,0.833792
Right-VentralDC,VoxelMorph,0.801377
Right-VentralDC,VoxelMorph,0.829761
Right-VentralDC,VoxelMorph,0.755744
Right-VentralDC,VoxelMorph,0.776628
Right-VentralDC,VoxelMorph,0.816144
Right-VentralDC,VoxelMorph,0.810468
Right-VentralDC,VoxelMorph,0.785696
Right-VentralDC,VoxelMorph,0.812153
Right-VentralDC,VoxelMorph,0.825259
Right-VentralDC,VoxelMorph,0.814708
Right-VentralDC,VoxelMorph,0.822925
Right-VentralDC,VoxelMorph,0.798481
Right-VentralDC,VoxelMorph,0.800738
Right-VentralDC,VoxelMorph,0.767044
Right-VentralDC,VoxelMorph,0.830076
Right-VentralDC,VoxelMorph,0.820456
Right-VentralDC,VoxelMorph,0.828153
Right-VentralDC,VoxelMorph,0.824542
Right-VentralDC,VoxelMorph,0.819839
Right-VentralDC,VoxelMorph,0.818776
Right-VentralDC,VoxelMorph,0.843583
Right-VentralDC,VoxelMorph,0.8228
Right-VentralDC,VoxelMorph,0.801813
Right-VentralDC,VoxelMorph,0.831148
Right-VentralDC,VoxelMorph,0.786019
Right-VentralDC,VoxelMorph,0.757276
Right-VentralDC,VoxelMorph,0.833395
Right-VentralDC,VoxelMorph,0.786433
Right-VentralDC,VoxelMorph,0.81148
Right-VentralDC,VoxelMorph,0.815247
Right-VentralDC,VoxelMorph,0.760067
Right-VentralDC,VoxelMorph,0.815741
Right-VentralDC,VoxelMorph,0.774622
Right-VentralDC,VoxelMorph,0.831613
Right-VentralDC,VoxelMorph,0.805615
Right-VentralDC,VoxelMorph,0.802787
Right-VentralDC,VoxelMorph,0.786711
Right-VentralDC,VoxelMorph,0.806704
Right-VentralDC,VoxelMorph,0.812286
Right-VentralDC,VoxelMorph,0.827003
Right-VentralDC,VoxelMorph,0.787012
Right-VentralDC,VoxelMorph,0.791558
Right-VentralDC,VoxelMorph,0.829501
Right-VentralDC,VoxelMorph,0.798723
Right-VentralDC,VoxelMorph,0.817611
Right-VentralDC,VoxelMorph,0.807916
Right-VentralDC,VoxelMorph,0.798023
Right-VentralDC,VoxelMorph,0.795557
Right-Thalamus-Proper,VoxelMorph,0.863895
Right-Thalamus-Proper,VoxelMorph,0.854482
Right-Thalamus-Proper,VoxelMorph,0.828976
Right-Thalamus-Proper,VoxelMorph,0.824376
Right-Thalamus-Proper,VoxelMorph,0.838894
Right-Thalamus-Proper,VoxelMorph,0.832626
Right-Thalamus-Proper,VoxelMorph,0.855875
Right-Thalamus-Proper,VoxelMorph,0.815322
Right-Thalamus-Proper,VoxelMorph,0.828883
Right-Thalamus-Proper,VoxelMorph,0.870933
Right-Thalamus-Proper,VoxelMorph,0.856336
Right-Thalamus-Proper,VoxelMorph,0.822374
Right-Thalamus-Proper,VoxelMorph,0.863911
Right-Thalamus-Proper,VoxelMorph,0.84885
Right-Thalamus-Proper,VoxelMorph,0.880061
Right-Thalamus-Proper,VoxelMorph,0.801743
Right-Thalamus-Proper,VoxelMorph,0.861519
Right-Thalamus-Proper,VoxelMorph,0.823874
Right-Thalamus-Proper,VoxelMorph,0.794765
Right-Thalamus-Proper,VoxelMorph,0.85375
Right-Thalamus-Proper,VoxelMorph,0.857595
Right-Thalamus-Proper,VoxelMorph,0.855486
Right-Thalamus-Proper,VoxelMorph,0.871644
Right-Thalamus-Proper,VoxelMorph,0.810914
Right-Thalamus-Proper,VoxelMorph,0.782566
Right-Thalamus-Proper,VoxelMorph,0.822416
Right-Thalamus-Proper,VoxelMorph,0.846703
Right-Thalamus-Proper,VoxelMorph,0.858314
Right-Thalamus-Proper,VoxelMorph,0.749263
Right-Thalamus-Proper,VoxelMorph,0.835246
Right-Thalamus-Proper,VoxelMorph,0.864598
Right-Thalamus-Proper,VoxelMorph,0.868028
Right-Thalamus-Proper,VoxelMorph,0.884567
Right-Thalamus-Proper,VoxelMorph,0.835838
Right-Thalamus-Proper,VoxelMorph,0.861912
Right-Thalamus-Proper,VoxelMorph,0.870392
Right-Thalamus-Proper,VoxelMorph,0.827175
Right-Thalamus-Proper,VoxelMorph,0.822462
Right-Thalamus-Proper,VoxelMorph,0.793627
Right-Thalamus-Proper,VoxelMorph,0.846177
Right-Thalamus-Proper,VoxelMorph,0.853945
Right-Thalamus-Proper,VoxelMorph,0.812022
Right-Thalamus-Proper,VoxelMorph,0.852194
Right-Thalamus-Proper,VoxelMorph,0.875234
Right-Thalamus-Proper,VoxelMorph,0.850957
Right-Thalamus-Proper,VoxelMorph,0.81626
Right-Thalamus-Proper,VoxelMorph,0.792182
Right-Thalamus-Proper,VoxelMorph,0.872423
Right-Thalamus-Proper,VoxelMorph,0.804295
Right-Thalamus-Proper,VoxelMorph,0.877093
Right-Thalamus-Proper,VoxelMorph,0.835848
Right-Thalamus-Proper,VoxelMorph,0.837409
Right-Thalamus-Proper,VoxelMorph,0.825352
Right-Thalamus-Proper,VoxelMorph,0.864995
Right-Thalamus-Proper,VoxelMorph,0.871126
Right-Thalamus-Proper,VoxelMorph,0.846856
Right-Thalamus-Proper,VoxelMorph,0.854415
Right-Thalamus-Proper,VoxelMorph,0.871582
Right-Thalamus-Proper,VoxelMorph,0.870539
Right-Thalamus-Proper,VoxelMorph,0.830043
Right-Thalamus-Proper,VoxelMorph,0.846419
Right-Thalamus-Proper,VoxelMorph,0.810635
Right-Thalamus-Proper,VoxelMorph,0.77628
Right-Thalamus-Proper,VoxelMorph,0.821438
Right-Thalamus-Proper,VoxelMorph,0.872248
Right-Thalamus-Proper,VoxelMorph,0.81264
Right-Thalamus-Proper,VoxelMorph,0.852098
Right-Thalamus-Proper,VoxelMorph,0.868199
Right-Thalamus-Proper,VoxelMorph,0.878962
Right-Thalamus-Proper,VoxelMorph,0.844502
Right-Thalamus-Proper,VoxelMorph,0.815973
Right-Thalamus-Proper,VoxelMorph,0.836699
Right-Thalamus-Proper,VoxelMorph,0.82867
Right-Thalamus-Proper,VoxelMorph,0.835662
Right-Thalamus-Proper,VoxelMorph,0.840969
Right-Thalamus-Proper,VoxelMorph,0.874427
Right-Thalamus-Proper,VoxelMorph,0.781348
Right-Thalamus-Proper,VoxelMorph,0.841026
Right-Thalamus-Proper,VoxelMorph,0.766043
Right-Thalamus-Proper,VoxelMorph,0.847699
Right-Thalamus-Proper,VoxelMorph,0.832565
Right-Thalamus-Proper,VoxelMorph,0.874186
Right-Thalamus-Proper,VoxelMorph,0.87783
Right-Thalamus-Proper,VoxelMorph,0.777172
Right-Thalamus-Proper,VoxelMorph,0.868361
Right-Thalamus-Proper,VoxelMorph,0.848208
Right-Thalamus-Proper,VoxelMorph,0.841072
Right-Thalamus-Proper,VoxelMorph,0.840245
Right-Thalamus-Proper,VoxelMorph,0.741259
Right-Thalamus-Proper,VoxelMorph,0.885404
Right-Thalamus-Proper,VoxelMorph,0.882374
Right-Thalamus-Proper,VoxelMorph,0.834277
Right-Thalamus-Proper,VoxelMorph,0.857108
Right-Thalamus-Proper,VoxelMorph,0.850415
Right-Thalamus-Proper,VoxelMorph,0.826521
Right-Thalamus-Proper,VoxelMorph,0.815209
Right-Thalamus-Proper,VoxelMorph,0.813924
Right-Thalamus-Proper,VoxelMorph,0.869001
Right-Thalamus-Proper,VoxelMorph,0.849956
Right-Thalamus-Proper,VoxelMorph,0.788605
Right-Thalamus-Proper,VoxelMorph,0.830148
Right-Thalamus-Proper,VoxelMorph,0.845548
Right-Thalamus-Proper,VoxelMorph,0.864606
Right-Thalamus-Proper,VoxelMorph,0.856086
Right-Thalamus-Proper,VoxelMorph,0.811989
Right-Thalamus-Proper,VoxelMorph,0.886091
Right-Thalamus-Proper,VoxelMorph,0.855266
Right-Thalamus-Proper,VoxelMorph,0.864587
Right-Thalamus-Proper,VoxelMorph,0.838019
Right-Thalamus-Proper,VoxelMorph,0.864551
Right-Thalamus-Proper,VoxelMorph,0.845313
Right-Thalamus-Proper,VoxelMorph,0.867471
Right-Thalamus-Proper,VoxelMorph,0.848148
Right-Thalamus-Proper,VoxelMorph,0.83828
Right-Thalamus-Proper,VoxelMorph,0.857847
Right-Putamen,VoxelMorph,0.726117
Right-Putamen,VoxelMorph,0.599505
Right-Putamen,VoxelMorph,0.671349
Right-Putamen,VoxelMorph,0.829739
Right-Putamen,VoxelMorph,0.612125
Right-Putamen,VoxelMorph,0.622082
Right-Putamen,VoxelMorph,0.646672
Right-Putamen,VoxelMorph,0.653252
Right-Putamen,VoxelMorph,0.701424
Right-Putamen,VoxelMorph,0.597296
Right-Putamen,VoxelMorph,0.660157
Right-Putamen,VoxelMorph,0.586102
Right-Putamen,VoxelMorph,0.744228
Right-Putamen,VoxelMorph,0.536619
Right-Putamen,VoxelMorph,0.742728
Right-Putamen,VoxelMorph,0.79467
Right-Putamen,VoxelMorph,0.574906
Right-Putamen,VoxelMorph,0.737038
Right-Putamen,VoxelMorph,0.643044
Right-Putamen,VoxelMorph,0.649047
Right-Putamen,VoxelMorph,0.687375
Right-Putamen,VoxelMorph,0.557992
Right-Putamen,VoxelMorph,0.611005
Right-Putamen,VoxelMorph,0.792039
Right-Putamen,VoxelMorph,0.647353
Right-Putamen,VoxelMorph,0.699089
Right-Putamen,VoxelMorph,0.558543
Right-Putamen,VoxelMorph,0.712074
Right-Putamen,VoxelMorph,0.801196
Right-Putamen,VoxelMorph,0.718523
Right-Putamen,VoxelMorph,0.634961
Right-Putamen,VoxelMorph,0.620397
Right-Putamen,VoxelMorph,0.737815
Right-Putamen,VoxelMorph,0.689215
Right-Putamen,VoxelMorph,0.70342
Right-Putamen,VoxelMorph,0.542444
Right-Putamen,VoxelMorph,0.681992
Right-Putamen,VoxelMorph,0.748495
Right-Putamen,VoxelMorph,0.635115
Right-Putamen,VoxelMorph,0.7315
Right-Putamen,VoxelMorph,0.678318
Right-Putamen,VoxelMorph,0.672217
Right-Putamen,VoxelMorph,0.764624
Right-Putamen,VoxelMorph,0.752349
Right-Putamen,VoxelMorph,0.727175
Right-Putamen,VoxelMorph,0.746714
Right-Putamen,VoxelMorph,0.751187
Right-Putamen,VoxelMorph,0.689587
Right-Putamen,VoxelMorph,0.668177
Right-Putamen,VoxelMorph,0.71785
Right-Putamen,VoxelMorph,0.695593
Right-Putamen,VoxelMorph,0.711494
Right-Putamen,VoxelMorph,0.625635
Right-Putamen,VoxelMorph,0.748059
Right-Putamen,VoxelMorph,0.644655
Right-Putamen,VoxelMorph,0.75065
Right-Putamen,VoxelMorph,0.710418
Right-Putamen,VoxelMorph,0.666138
Right-Putamen,VoxelMorph,0.665052
Right-Putamen,VoxelMorph,0.615208
Right-Putamen,VoxelMorph,0.803471
Right-Putamen,VoxelMorph,0.705346
Right-Putamen,VoxelMorph,0.639554
Right-Putamen,VoxelMorph,0.709287
Right-Putamen,VoxelMorph,0.643776
Right-Putamen,VoxelMorph,0.672
Right-Putamen,VoxelMorph,0.71798
Right-Putamen,VoxelMorph,0.47755
Right-Putamen,VoxelMorph,0.765506
Right-Putamen,VoxelMorph,0.662115
Right-Putamen,VoxelMorph,0.787093
Right-Putamen,VoxelMorph,0.7798
